Name:;
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;07.10.2020 15:16:56

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;0
2;0
3;0
4;0
5;1
6;0
7;1
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;4
27;1
28;3
29;9
30;13
31;17
32;15
33;7
34;10
35;6
36;8
37;4
38;8
39;14
40;12
41;18
42;14
43;20
44;18
45;17
46;18
47;20
48;12
49;21
50;19
51;21
52;22
53;25
54;31
55;29
56;43
57;33
58;40
59;33
60;46
61;42
62;31
63;53
64;42
65;55
66;47
67;54
68;52
69;34
70;42
71;52
72;64
73;38
74;38
75;29
76;40
77;30
78;36
79;43
80;28
81;35
82;22
83;28
84;34
85;22
86;19
87;32
88;23
89;25
90;23
91;35
92;25
93;21
94;29
95;18
96;30
97;22
98;27
99;18
100;20
101;25
102;30
103;31
104;34
105;25
106;38
107;22
108;39
109;30
110;30
111;41
112;29
113;35
114;30
115;31
116;37
117;34
118;29
119;42
120;38
121;28
122;33
123;37
124;49
125;40
126;48
127;37
128;55
129;35
130;40
131;33
132;47
133;52
134;36
135;38
136;34
137;31
138;19
139;43
140;43
141;43
142;34
143;37
144;34
145;26
146;37
147;37
148;40
149;27
150;41
151;39
152;34
153;34
154;41
155;44
156;34
157;43
158;42
159;40
160;38
161;34
162;42
163;37
164;41
165;39
166;50
167;32
168;35
169;63
170;39
171;41
172;47
173;34
174;45
175;45
176;57
177;41
178;55
179;50
180;44
181;45
182;42
183;54
184;48
185;62
186;57
187;41
188;50
189;58
190;50
191;48
192;49
193;65
194;52
195;55
196;56
197;49
198;56
199;64
200;48
201;52
202;38
203;38
204;48
205;39
206;34
207;35
208;40
209;46
210;14
211;47
212;34
213;51
214;31
215;31
216;39
217;29
218;46
219;37
220;39
221;29
222;35
223;37
224;42
225;36
226;27
227;38
228;31
229;34
230;49
231;41
232;31
233;50
234;35
235;39
236;45
237;34
238;53
239;42
240;40
241;47
242;42
243;56
244;42
245;46
246;37
247;47
248;48
249;49
250;56
251;46
252;37
253;52
254;45
255;47
256;35
257;36
258;30
259;50
260;54
261;42
262;39
263;40
264;50
265;43
266;41
267;39
268;51
269;45
270;41
271;45
272;51
273;45
274;46
275;40
276;44
277;46
278;39
279;44
280;55
281;47
282;37
283;45
284;51
285;45
286;39
287;41
288;33
289;32
290;39
291;41
292;53
293;40
294;51
295;40
296;52
297;45
298;55
299;43
300;49
301;32
302;45
303;59
304;48
305;52
306;50
307;62
308;53
309;60
310;46
311;54
312;55
313;55
314;54
315;53
316;47
317;54
318;61
319;48
320;59
321;53
322;53
323;41
324;61
325;67
326;62
327;53
328;58
329;47
330;52
331;47
332;55
333;61
334;42
335;52
336;65
337;62
338;63
339;71
340;41
341;49
342;59
343;70
344;60
345;57
346;54
347;78
348;57
349;66
350;69
351;62
352;59
353;62
354;54
355;50
356;76
357;46
358;45
359;58
360;55
361;51
362;66
363;60
364;70
365;71
366;59
367;63
368;55
369;67
370;73
371;40
372;70
373;54
374;76
375;52
376;46
377;61
378;67
379;61
380;63
381;51
382;55
383;55
384;64
385;51
386;62
387;57
388;57
389;68
390;49
391;64
392;74
393;62
394;58
395;60
396;60
397;58
398;65
399;57
400;57
401;48
402;52
403;53
404;66
405;57
