Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;10.11.2020 14:25:22

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;10.11.2020 13:21:03

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46079

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;1;0
2;1;0
3;0;1
4;2;1
5;1;0
6;1;0
7;0;0
8;1;0
9;0;0
10;0;0
11;1;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;1;0
21;0;0
22;1;0
23;2;2
24;4;3
25;6;1
26;5;2
27;6;4
28;10;4
29;22;10
30;63;22
31;120;33
32;76;32
33;38;18
34;43;10
35;46;12
36;44;11
37;47;25
38;76;25
39;87;33
40;84;27
41;103;14
42;105;31
43;100;24
44;129;33
45;106;24
46;122;41
47;137;26
48;135;35
49;131;29
50;151;22
51;142;34
52;172;22
53;145;24
54;159;25
55;177;24
56;140;37
57;164;23
58;153;30
59;154;25
60;163;29
61;160;31
62;165;33
63;149;29
64;169;33
65;150;28
66;150;18
67;144;22
68;148;31
69;133;31
70;120;30
71;115;27
72;133;37
73;129;28
74;116;32
75;104;28
76;136;25
77;116;43
78;119;39
79;112;26
80;121;46
81;123;39
82;122;27
83;108;39
84;125;25
85;122;30
86;147;36
87;123;27
88;126;30
89;120;33
90;114;31
91;144;24
92;132;29
93;147;40
94;154;31
95;140;41
96;179;35
97;173;29
98;177;30
99;188;36
100;193;44
101;178;26
102;242;36
103;230;41
104;255;31
105;224;38
106;250;37
107;266;44
108;296;44
109;287;37
110;316;32
111;350;38
112;355;40
113;339;41
114;379;41
115;358;43
116;443;39
117;407;29
118;443;41
119;445;35
120;433;37
121;433;31
122;475;41
123;490;35
124;516;42
125;513;29
126;546;48
127;498;43
128;539;44
129;493;36
130;563;27
131;520;45
132;557;48
133;528;33
134;546;35
135;498;40
136;492;40
137;470;32
138;482;39
139;471;48
140;473;39
141;414;34
142;440;36
143;456;41
144;413;34
145;382;43
146;404;49
147;364;37
148;370;45
149;330;36
150;325;34
151;292;42
152;308;45
153;262;33
154;317;49
155;273;40
156;291;36
157;240;45
158;231;41
159;233;52
160;229;32
161;213;36
162;212;53
163;203;37
164;215;43
165;207;42
166;221;41
167;188;52
168;164;46
169;197;45
170;201;41
171;188;38
172;212;44
173;214;60
174;184;41
175;193;53
176;171;51
177;196;49
178;184;58
179;213;49
180;193;45
181;177;36
182;186;33
183;195;35
184;214;38
185;204;48
186;221;47
187;173;30
188;177;43
189;214;37
190;187;56
191;169;54
192;190;48
193;203;38
194;221;39
195;163;43
196;180;51
197;199;46
198;199;38
199;201;53
200;200;39
201;188;50
202;173;39
203;200;42
204;214;65
205;197;42
206;210;31
207;190;41
208;223;49
209;198;35
210;220;40
211;203;48
212;200;36
213;205;43
214;220;39
215;181;44
216;220;31
217;215;37
218;205;47
219;211;40
220;218;30
221;209;49
222;204;40
223;225;60
224;244;48
225;189;37
226;220;46
227;215;47
228;201;41
229;222;47
230;243;37
231;286;45
232;210;44
233;235;37
234;230;42
235;262;49
236;243;38
237;230;40
238;241;39
239;213;43
240;280;45
241;265;42
242;272;51
243;273;38
244;254;45
245;280;30
246;309;50
247;260;37
248;247;61
249;261;46
250;310;50
251;272;43
252;296;40
253;281;38
254;287;45
255;293;48
256;278;35
257;295;43
258;285;41
259;300;42
260;330;47
261;316;38
262;300;40
263;307;53
264;301;39
265;284;60
266;282;37
267;302;46
268;341;53
269;311;45
270;294;44
271;324;46
272;322;49
273;313;51
274;280;38
275;278;53
276;306;52
277;284;46
278;310;39
279;272;45
280;321;41
281;304;39
282;281;37
283;293;54
284;297;48
285;292;41
286;264;47
287;289;44
