Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;12.11.2020 12:21:54

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;12.11.2020 11:21:20

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46111

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;1
3;0;0
4;0;0
5;0;0
6;1;1
7;0;1
8;0;0
9;0;0
10;0;0
11;0;0
12;2;0
13;0;0
14;1;0
15;0;0
16;0;0
17;0;0
18;0;1
19;1;0
20;0;0
21;0;0
22;0;2
23;2;5
24;8;0
25;5;5
26;9;4
27;4;5
28;25;12
29;61;22
30;125;36
31;73;23
32;50;16
33;39;12
34;42;10
35;56;9
36;57;13
37;63;28
38;92;32
39;107;22
40;91;36
41;91;26
42;131;37
43;121;26
44;119;30
45;118;22
46;128;39
47;142;17
48;147;35
49;122;35
50;140;34
51;130;36
52;137;28
53;154;32
54;158;23
55;157;36
56;147;43
57;171;29
58;187;27
59;153;19
60;164;29
61;163;30
62;141;31
63;153;31
64;154;36
65;141;36
66;142;42
67;140;36
68;146;30
69;127;28
70;134;34
71;116;29
72;134;25
73;118;35
74;130;29
75;115;30
76;125;21
77;113;35
78;136;38
79;128;25
80;151;40
81;120;26
82;108;27
83;108;31
84;111;34
85;123;25
86;144;29
87;126;30
88;143;35
89;154;32
90;131;38
91;141;32
92;156;34
93;180;31
94;169;35
95;159;44
96;184;39
97;163;38
98;207;39
99;191;46
100;218;46
101;227;36
102;225;41
103;229;43
104;241;37
105;283;40
106;269;45
107;274;42
108;318;43
109;314;35
110;345;44
111;303;37
112;366;57
113;365;40
114;350;50
115;382;40
116;413;44
117;416;36
118;437;36
119;495;32
120;474;39
121;471;30
122;511;33
123;496;37
124;557;46
125;475;40
126;545;41
127;509;45
128;544;45
129;567;39
130;510;34
131;515;39
132;581;44
133;527;38
134;500;46
135;496;35
136;523;40
137;506;38
138;517;37
139;460;46
140;445;33
141;450;43
142;439;37
143;407;40
144;407;47
145;344;41
146;355;44
147;367;42
148;361;41
149;299;25
150;298;41
151;298;34
152;301;53
153;276;44
154;268;36
155;265;40
156;238;33
157;270;40
158;240;45
159;196;46
160;229;41
161;216;36
162;232;40
163;190;44
164;194;33
165;173;45
166;189;45
167;204;55
168;209;42
169;172;38
170;186;37
171;182;60
172;208;43
173;188;42
174;187;46
175;178;44
176;208;44
177;163;47
178;170;56
179;162;44
180;171;56
181;196;44
182;192;41
183;191;39
184;182;37
185;168;49
186;175;42
187;169;37
188;186;51
189;193;44
190;165;47
191;191;44
192;190;50
193;201;36
194;208;43
195;172;37
196;208;58
197;180;31
198;190;43
199;202;33
200;202;40
201;189;36
202;189;44
203;189;42
204;200;33
205;186;38
206;191;58
207;189;50
208;201;38
209;199;41
210;225;38
211;163;51
212;191;48
213;191;40
214;190;44
215;201;33
216;218;39
217;201;35
218;220;44
219;200;63
220;196;35
221;200;46
222;219;40
223;224;49
224;213;35
225;198;46
226;211;39
227;199;45
228;234;34
229;224;44
230;210;54
231;241;42
232;226;39
233;251;45
234;234;37
235;232;46
236;280;42
237;259;36
238;229;37
239;267;37
240;258;53
241;261;45
242;250;47
243;254;36
244;264;42
245;283;53
246;273;49
247;283;40
248;243;57
249;298;45
250;281;48
251;263;35
252;296;50
253;282;44
254;261;43
255;300;34
256;291;40
257;304;39
258;284;39
259;327;39
260;294;43
261;276;56
262;292;32
263;287;40
264;318;60
265;276;45
266;292;53
267;265;48
268;315;51
269;285;44
270;303;47
271;314;55
272;285;42
273;294;44
274;319;47
275;315;38
276;287;36
277;293;54
278;300;52
279;289;39
280;253;46
281;283;46
282;302;50
283;306;47
284;245;44
285;250;42
286;272;47
287;252;37
