Name:;
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;28.09.2020 10:58:49

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;2
2;3
3;2
4;2
5;2
6;1
7;3
8;1
9;3
10;2
11;2
12;2
13;0
14;1
15;0
16;0
17;0
18;1
19;1
20;0
21;0
22;6
23;13
24;29
25;46
26;52
27;47
28;66
29;158
30;673
31;836
32;636
33;365
34;340
35;400
36;491
37;582
38;771
39;793
40;877
41;958
42;1076
43;1086
44;1192
45;1124
46;1204
47;1178
48;1338
49;1314
50;1364
51;1400
52;1467
53;1468
54;1541
55;1415
56;1698
57;1533
58;1547
59;1451
60;1593
61;1469
62;1523
63;1375
64;1431
65;1335
66;1383
67;1289
68;1249
69;1145
70;1198
71;1091
72;1137
73;1081
74;1073
75;1075
76;1137
77;1083
78;1158
79;1114
80;1134
81;1081
82;1180
83;1196
84;1221
85;1274
86;1277
87;1337
88;1351
89;1338
90;1450
91;1451
92;1543
93;1594
94;1668
95;1798
96;1866
97;1808
98;2080
99;2084
100;2309
101;2266
102;2520
103;2488
104;2708
105;2758
106;2949
107;3088
108;3313
109;3377
110;3627
111;3703
112;4049
113;4064
114;4256
115;4298
116;4570
117;4587
118;5053
119;4940
120;5327
121;5183
122;5379
123;5468
124;5788
125;5625
126;5826
127;5561
128;5752
129;5524
130;5617
131;5546
132;5485
133;5334
134;5364
135;5011
136;5206
137;4782
138;4937
139;4444
140;4591
141;4201
142;4158
143;3698
144;3847
145;3583
146;3418
147;3205
148;3125
149;2990
150;2902
151;2803
152;2678
153;2439
154;2537
155;2233
156;2230
157;2139
158;2063
159;1992
160;2125
161;1781
162;2007
163;1804
164;1800
165;1751
166;1816
167;1772
168;1724
169;1632
170;1657
171;1692
172;1713
173;1535
174;1674
175;1601
176;1619
177;1601
178;1664
179;1614
180;1715
181;1600
182;1603
183;1657
184;1740
185;1636
186;1743
187;1666
188;1812
189;1620
190;1801
191;1685
192;1779
193;1716
194;1740
195;1759
196;1775
197;1716
198;1828
199;1653
200;1811
201;1737
202;1841
203;1820
204;1970
205;1806
206;1841
207;1849
208;1879
209;1894
210;1867
211;1814
212;1821
213;1906
214;1938
215;1930
216;1933
217;1951
218;2029
219;1887
220;1973
221;1950
222;2077
223;2104
224;2132
225;2003
226;2073
227;2139
228;2246
229;2221
230;2338
231;2281
232;2398
233;2383
234;2498
235;2463
236;2618
237;2468
238;2705
239;2502
240;2691
241;2551
242;2662
243;2665
244;2777
245;2770
246;2779
247;2830
248;2918
249;2764
250;3020
251;2911
252;2954
253;2960
254;2962
255;2877
256;2998
257;2950
258;3050
259;2987
260;3035
261;2879
262;3006
263;2964
264;3068
265;2969
266;2977
267;2838
268;3060
269;2961
270;2954
271;2863
272;2857
273;2779
274;2891
275;2771
276;2798
277;2714
278;2743
279;2642
280;2803
281;2634
282;2774
283;2616
284;2544
285;2505
286;2559
287;2455
288;2618
289;2178
290;2561
291;2377
292;2410
293;2431
294;2443
295;2347
296;2307
297;2242
298;2319
299;2309
300;2275
301;2232
302;2245
303;2185
304;2242
305;2142
306;2157
307;2116
308;2200
309;2086
310;2198
311;2047
312;2094
313;2082
314;2099
315;2076
316;2121
317;2072
318;2121
319;1913
320;2140
321;2026
322;2028
323;2024
324;2078
325;2055
326;2016
327;1980
328;2130
329;1981
330;2084
331;2033
332;2091
