Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;23.09.2020 14:05:31

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;1
27;1
28;0
29;1
30;6
31;3
32;4
33;5
34;3
35;3
36;7
37;2
38;6
39;1
40;5
41;10
42;6
43;5
44;7
45;17
46;17
47;6
48;11
49;14
50;13
51;15
52;19
53;15
54;13
55;11
56;12
57;10
58;12
59;12
60;10
61;7
62;14
63;10
64;16
65;19
66;9
67;8
68;15
69;11
70;13
71;6
72;12
73;10
74;13
75;2
76;10
77;10
78;7
79;11
80;9
81;8
82;8
83;15
84;12
85;7
86;9
87;13
88;12
89;13
90;10
91;12
92;19
93;17
94;12
95;24
96;25
97;24
98;16
99;9
100;25
101;16
102;20
103;19
104;30
105;23
106;29
107;16
108;24
109;38
110;25
111;40
112;45
113;32
114;27
115;41
116;44
117;35
118;48
119;50
120;62
121;55
122;68
123;51
124;54
125;55
126;47
127;52
128;60
129;69
130;71
131;59
132;55
133;52
134;41
135;46
136;51
137;48
138;43
139;38
140;41
141;52
142;38
143;41
144;38
145;44
146;31
147;41
148;31
149;37
150;29
151;23
152;31
153;24
154;11
155;15
156;25
157;20
158;21
159;23
160;25
161;16
162;28
163;20
164;18
165;24
166;13
167;10
168;13
169;13
170;15
171;13
172;8
173;15
174;11
175;16
176;12
177;16
178;10
179;8
180;21
181;19
182;19
183;15
184;19
185;24
186;13
187;18
188;14
189;20
190;21
191;16
192;20
193;11
194;16
195;17
196;17
197;22
198;7
199;16
200;20
201;18
202;14
203;18
204;11
205;20
206;23
207;22
208;14
209;13
210;17
211;19
212;28
213;17
214;11
215;22
216;12
217;25
218;21
219;21
220;18
221;21
222;17
223;21
224;11
225;19
226;19
227;12
228;17
229;8
230;18
231;18
232;32
233;25
234;26
235;22
236;25
237;24
238;26
239;21
240;23
241;35
242;30
243;19
244;34
245;22
246;24
247;27
248;27
249;12
250;28
251;24
252;46
253;25
254;20
255;30
256;25
257;29
258;20
259;26
260;26
261;25
262;29
263;20
264;23
265;31
266;24
267;29
268;19
269;29
270;23
271;20
272;25
273;19
274;44
275;28
276;25
277;20
278;26
279;20
280;16
281;21
282;27
283;20
284;22
285;30
286;17
287;28
288;29
289;29
290;15
291;23
292;26
293;26
294;22
295;19
296;20
297;22
298;26
299;19
300;24
301;16
302;13
303;6
304;26
305;17
306;30
307;15
308;19
309;22
310;18
311;16
312;14
313;12
314;27
315;23
316;12
317;38
318;29
319;25
320;19
321;15
322;17
323;25
324;16
325;26
326;28
327;26
328;25
329;18
330;16
331;22
332;22
333;21
334;23
335;28
336;16
337;7
338;25
339;34
340;23
341;25
342;22
343;29
344;19
345;21
346;19
347;18
348;21
349;24
350;18
351;23
352;13
353;17
354;18
355;15
356;18
357;21
358;10
359;19
360;21
361;12
362;12
363;13
364;11
365;11
366;18
367;29
368;15
369;24
370;24
371;15
372;11
373;18
374;31
375;34
376;20
377;16
378;21
379;21
380;21
381;8
382;19
383;23
384;26
385;22
386;22
387;14
388;8
389;17
390;15
391;14
392;28
393;15
394;23
395;16
396;17
397;20
398;18
399;23
400;15
401;13
402;20
403;21
404;18
