Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;30.11.2020 09:53:41

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;30.11.2020 08:55:03

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46079

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;1
8;1;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;1;0
24;0;0
25;0;0
26;0;1
27;0;0
28;1;2
29;5;2
30;8;2
31;6;1
32;7;2
33;3;1
34;5;1
35;5;1
36;1;1
37;7;4
38;9;1
39;4;1
40;7;2
41;12;0
42;6;3
43;8;2
44;6;5
45;10;2
46;4;0
47;8;3
48;9;5
49;9;4
50;16;3
51;7;4
52;9;2
53;15;2
54;8;0
55;9;3
56;19;3
57;12;2
58;9;5
59;10;1
60;14;3
61;11;2
62;17;4
63;12;0
64;10;3
65;17;1
66;10;2
67;12;3
68;10;3
69;6;2
70;10;2
71;10;4
72;7;4
73;12;8
74;7;3
75;8;0
76;7;3
77;7;2
78;7;5
79;10;1
80;8;4
81;5;4
82;7;1
83;5;0
84;7;5
85;6;2
86;3;5
87;5;4
88;7;5
89;13;4
90;16;1
91;11;2
92;8;5
93;9;4
94;9;4
95;11;2
96;18;2
97;12;6
98;18;2
99;16;3
100;13;3
101;23;3
102;18;2
103;29;2
104;20;1
105;24;4
106;28;1
107;28;4
108;32;1
109;31;4
110;11;3
111;32;2
112;35;2
113;16;1
114;37;2
115;32;1
116;32;4
117;42;2
118;39;3
119;33;2
120;51;6
121;30;3
122;31;6
123;25;2
124;37;5
125;36;1
126;41;5
127;43;2
128;46;5
129;50;1
130;31;0
131;40;6
132;42;2
133;45;7
134;30;2
135;34;1
136;45;4
137;34;6
138;29;5
139;39;3
140;32;1
141;31;2
142;30;3
143;26;5
144;37;2
145;33;1
146;31;1
147;37;3
148;20;2
149;26;4
150;18;1
151;25;5
152;24;4
153;20;8
154;13;3
155;22;3
156;23;5
157;14;5
158;15;0
159;12;3
160;20;5
161;21;4
162;18;1
163;21;4
164;12;6
165;23;6
166;11;7
167;20;1
168;15;3
169;17;5
170;15;3
171;15;7
172;14;6
173;16;4
174;11;0
175;15;3
176;19;5
177;13;2
178;15;1
179;14;7
180;13;6
181;17;3
182;11;5
183;19;0
184;15;5
185;14;6
186;18;3
187;15;3
188;18;2
189;20;1
190;17;2
191;16;5
192;14;2
193;13;2
194;10;5
195;15;3
196;18;8
197;18;7
198;16;7
199;11;8
200;20;2
201;13;5
202;24;5
203;10;4
204;20;3
205;16;11
206;18;4
207;14;2
208;17;3
209;14;1
210;16;3
211;18;3
212;13;4
213;17;0
214;16;4
215;16;0
216;21;4
217;18;6
218;21;3
219;15;5
220;12;2
221;11;8
222;28;3
223;19;4
224;21;3
225;18;8
226;16;3
227;24;5
228;16;6
229;19;5
230;20;7
231;20;3
232;20;4
233;19;2
234;22;3
235;25;4
236;19;2
237;18;0
238;15;4
239;24;7
240;14;2
241;17;4
242;19;5
243;24;1
244;12;6
245;20;4
246;18;4
247;22;2
248;19;1
249;19;1
250;26;6
251;24;0
252;20;7
253;26;2
254;27;6
255;22;2
256;19;6
257;14;3
258;19;4
259;24;4
260;28;3
261;19;8
262;18;4
263;27;4
264;29;3
265;20;2
266;24;4
267;26;4
268;25;3
269;18;2
270;32;7
271;25;5
272;24;2
273;27;4
274;21;10
275;21;2
276;21;2
277;22;7
278;18;6
279;22;2
280;29;3
281;27;1
282;17;4
283;19;2
284;17;3
285;24;6
286;28;4
287;25;5
