Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;23.09.2020 14:11:37

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;0
2;0
3;0
4;1
5;0
6;0
7;0
8;0
9;1
10;0
11;0
12;0
13;0
14;0
15;1
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;1
24;4
25;3
26;2
27;4
28;3
29;17
30;29
31;31
32;29
33;14
34;15
35;8
36;16
37;30
38;37
39;26
40;36
41;37
42;56
43;41
44;54
45;57
46;45
47;59
48;45
49;72
50;66
51;63
52;63
53;68
54;46
55;73
56;73
57;51
58;57
59;77
60;79
61;71
62;62
63;76
64;86
65;65
66;55
67;60
68;59
69;46
70;52
71;52
72;51
73;52
74;46
75;34
76;43
77;50
78;44
79;36
80;44
81;44
82;36
83;46
84;55
85;39
86;53
87;55
88;57
89;46
90;48
91;58
92;72
93;77
94;59
95;76
96;92
97;75
98;79
99;98
100;94
101;108
102;99
103;126
104;132
105;105
106;128
107;118
108;147
109;142
110;185
111;170
112;199
113;157
114;187
115;185
116;221
117;239
118;243
119;239
120;239
121;240
122;264
123;226
124;253
125;261
126;283
127;285
128;268
129;273
130;254
131;275
132;266
133;255
134;264
135;272
136;256
137;241
138;230
139;202
140;227
141;221
142;212
143;210
144;204
145;164
146;160
147;145
148;140
149;127
150;136
151;128
152;137
153;107
154;139
155;126
156;120
157;123
158;90
159;98
160;95
161;89
162;113
163;76
164;88
165;86
166;102
167;78
168;84
169;79
170;53
171;85
172;89
173;77
174;93
175;77
176;76
177;69
178;72
179;76
180;83
181;74
182;96
183;84
184;72
185;68
186;76
187;85
188;105
189;79
190;89
191;78
192;91
193;103
194;76
195;83
196;94
197;87
198;81
199;91
200;87
201;68
202;83
203;88
204;87
205;69
206;82
207;69
208;87
209;82
210;85
211;90
212;101
213;84
214;87
215;90
216;76
217;96
218;86
219;94
220;95
221;93
222;106
223;108
224;75
225;99
226;96
227;96
228;105
229;104
230;115
231;108
232;121
233;121
234;129
235;105
236;104
237;104
238;124
239;126
240;120
241;104
242;126
243;117
244;122
245;113
246;140
247;146
248;148
249;118
250;122
251;146
252;149
253;133
254;158
255;146
256;146
257;133
258;139
259;142
260;142
261;141
262;147
263;155
264;124
265;151
266;115
267;127
268;108
269;143
270;120
271;140
272;130
273;113
274;148
275;125
276;112
277;130
278;127
279;139
280;131
281;108
282;139
283;122
284;124
285;118
286;133
287;132
288;116
289;101
290;131
291;106
292;123
293;138
294;104
295;113
296;109
297;112
298;106
299;119
300;109
301;93
302;108
303;94
304;100
305;93
306;103
307;94
308;101
309;112
310;98
311;74
312;117
313;97
314;106
315;97
316;80
317;92
318;101
319;89
320;96
321;88
322;107
323;83
324;92
325;88
326;112
327;99
328;98
329;102
330;104
331;92
332;92
333;101
334;79
335;101
336;108
337;81
338;89
339;93
340;124
341;86
342;101
343;88
344;111
345;82
346;115
347;90
348;96
349;93
350;104
351;100
352;93
353;102
354;82
355;73
356;105
357;93
358;89
359;84
360;115
361;102
362;100
363;112
364;102
365;86
366;101
367;78
368;102
369;83
370;85
371;84
372;85
373;86
374;115
375;87
376;92
377;119
378;89
379;106
380;114
381;91
382;101
383;95
384;93
385;100
386;90
387;67
388;83
389;84
390;84
391;63
392;122
393;94
394;94
395;95
396;85
397;92
398;94
399;94
400;88
401;82
402;104
403;83
404;86
