Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;04.02.2021 12:54:03

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;04.02.2021 11:29:10

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46111

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;150;0
2;150;0
3;126;0
4;134;1
5;123;0
6;111;2
7;83;0
8;83;0
9;59;0
10;68;0
11;49;0
12;43;0
13;44;0
14;44;0
15;30;0
16;34;0
17;25;0
18;39;0
19;28;0
20;31;0
21;74;0
22;232;1
23;578;0
24;1079;0
25;1602;2
26;2007;1
27;2105;1
28;2511;3
29;8121;5
30;29419;28
31;44666;31
32;35871;28
33;22552;17
34;19421;11
35;20147;9
36;24335;19
37;29072;16
38;35309;32
39;39220;21
40;44265;29
41;46121;24
42;50115;32
43;51255;37
44;55939;35
45;55021;37
46;59040;38
47;59082;40
48;63275;47
49;63288;57
50;67331;55
51;67121;45
52;71354;47
53;71363;34
54;75470;37
55;74151;25
56;77459;30
57;76699;42
58;79285;26
59;76784;34
60;80516;28
61;76609;34
62;78132;25
63;74902;35
64;76329;30
65;72820;34
66;73344;27
67;70145;30
68;69713;30
69;65701;26
70;67663;31
71;64977;38
72;65662;29
73;63696;42
74;64303;33
75;61855;28
76;64723;33
77;61221;34
78;63328;30
79;61933;28
80;64136;37
81;62886;40
82;65562;27
83;64790;32
84;66136;27
85;66880;36
86;70324;37
87;70625;34
88;74162;29
89;73909;37
90;79224;36
91;79067;43
92;80960;41
93;84123;31
94;89517;41
95;90457;39
96;96772;35
97;92190;41
98;104215;37
99;106170;34
100;111533;38
101;113128;45
102;122359;49
103;124276;34
104;133023;37
105;134253;33
106;144021;36
107;146271;29
108;159675;48
109;158103;36
110;170176;32
111;172012;38
112;184163;39
113;186214;43
114;198557;34
115;197593;43
116;213472;41
117;213128;42
118;227379;53
119;228756;40
120;242609;58
121;241602;43
122;254752;37
123;254023;33
124;269817;41
125;261189;43
126;273230;43
127;268824;40
128;278991;37
129;270118;39
130;280045;46
131;271328;39
132;275058;45
133;264628;42
134;271298;38
135;259748;45
136;263649;39
137;250603;40
138;251337;45
139;240215;55
140;242375;39
141;225615;50
142;225824;38
143;212502;39
144;212161;43
145;199781;41
146;198637;41
147;187278;43
148;181283;51
149;173745;41
150;174586;42
151;164343;40
152;163903;47
153;154254;51
154;154745;41
155;146529;45
156;141983;42
157;138057;39
158;140249;28
159;133051;45
160;133225;34
161;121737;61
162;129940;45
163;125546;48
164;126046;41
165;121899;41
166;124612;53
167;120486;60
168;123868;61
169;119679;38
170;123161;46
171;119071;47
172;125320;55
173;119260;55
174;122305;49
175;119963;35
176;123688;52
177;120716;45
178;125222;54
179;120930;49
180;127016;51
181;123877;58
182;128752;55
183;124219;42
184;128800;46
185;125848;48
186;129762;63
187;127038;57
188;133369;50
189;127290;47
190;132419;49
191;128341;38
192;133064;56
193;128738;43
194;132616;60
195;129644;55
196;131895;48
197;127642;55
198;132687;55
199;128914;67
200;131413;46
201;128209;55
202;131893;41
203;128160;51
204;132481;66
205;126769;41
206;131051;53
207;125883;49
208;129721;60
209;126007;51
210;129716;56
211;126517;53
212;126874;58
213;126350;42
214;130652;45
215;127436;48
216;131718;49
217;128413;53
218;134325;52
219;131053;43
220;132622;36
221;132987;50
222;138871;54
223;137146;41
224;144200;53
225;134798;39
226;142984;49
227;147701;46
228;153823;53
229;154224;45
230;162383;55
231;162221;49
232;170618;57
233;170746;46
234;180255;62
235;181331;53
236;194601;46
237;190026;42
238;201487;64
239;200831;48
240;212228;59
241;211616;53
242;223919;62
243;220072;51
244;234770;67
245;232955;41
246;245063;43
247;243490;47
248;255250;53
249;252321;53
