Name:;ABWSPEKT
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;31.03.2023 13:36:46

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;31.03.2023 10:03:08

Verstärkung:;6.128
Hochspannung:;890

Kalibrierfaktor:;0.46631

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;1;0
2;1;0
3;2;0
4;0;0
5;0;0
6;0;0
7;1;1
8;3;0
9;0;0
10;0;0
11;0;1
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;3;1
22;4;0
23;14;1
24;28;3
25;48;1
26;68;3
27;58;3
28;80;6
29;297;18
30;636;33
31;548;28
32;314;15
33;196;10
34;250;15
35;243;17
36;351;21
37;414;24
38;522;19
39;542;33
40;656;30
41;661;28
42;709;27
43;754;30
44;772;28
45;750;31
46;824;30
47;859;24
48;919;33
49;939;20
50;975;31
51;969;17
52;1050;25
53;1111;23
54;1108;26
55;1163;33
56;1229;29
57;1130;22
58;1221;37
59;1208;30
60;1196;34
61;1130;26
62;1281;38
63;1093;29
64;1098;47
65;1069;32
66;1094;35
67;1052;21
68;962;31
69;941;25
70;947;25
71;916;33
72;945;41
73;848;32
74;887;37
75;818;31
76;812;25
77;800;33
78;830;30
79;788;34
80;821;37
81;841;33
82;851;32
83;808;31
84;818;36
85;846;27
86;913;35
87;841;44
88;913;33
89;958;35
90;1030;35
91;1029;38
92;1053;39
93;1105;36
94;1177;40
95;1179;38
96;1312;42
97;1237;35
98;1449;36
99;1403;33
100;1505;41
101;1591;37
102;1679;36
103;1790;30
104;1895;43
105;1937;45
106;2204;33
107;2106;38
108;2396;45
109;2414;46
110;2527;44
111;2566;42
112;2731;34
113;2859;47
114;3097;58
115;3047;32
116;3510;23
117;3421;37
118;3602;40
119;3611;41
120;3945;41
121;3856;35
122;4118;31
123;4238;40
124;4439;40
125;4234;28
126;4391;54
127;4423;39
128;4454;53
129;4486;34
130;4506;42
131;4456;38
132;4524;37
133;4238;35
134;4411;38
135;4239;40
136;4348;41
137;4037;34
138;4154;44
139;3804;30
140;3892;36
141;3651;38
142;3584;45
143;3363;46
144;3348;35
145;3200;41
146;3020;32
147;2948;36
148;2819;35
149;2697;35
150;2719;48
151;2534;43
152;2557;41
153;2381;43
154;2388;41
155;2256;39
156;2196;41
157;2076;32
158;2125;31
159;1963;26
160;1993;49
161;1918;43
162;2016;47
163;1915;44
164;1956;32
165;1804;37
166;1883;52
167;1784;50
168;1913;53
169;1770;51
170;1938;38
171;1800;43
172;1911;54
173;1823;45
174;1801;51
175;1818;36
176;1941;46
177;1772;52
178;1918;38
179;1835;41
180;1972;39
181;1894;45
182;1972;33
183;1936;34
184;1848;40
185;1913;36
186;2008;32
187;1940;39
188;2065;47
189;2010;37
190;1994;47
191;1927;39
192;1950;48
193;1975;42
194;1992;46
195;1974;49
196;1982;48
197;1927;46
198;1947;42
199;2014;31
200;1911;31
201;1918;40
202;1984;47
203;1840;32
204;1949;49
205;1904;41
206;1889;28
207;1883;55
208;1907;43
209;1893;47
210;1994;38
211;1933;32
212;1835;41
213;1804;37
214;2031;35
215;1905;39
216;1953;45
217;1937;41
218;1937;58
219;1860;34
220;1993;41
221;1995;39
222;2145;48
223;2061;33
224;2175;50
225;2057;48
226;2171;33
227;2192;43
228;2390;32
229;2402;29
230;2546;39
231;2554;35
232;2770;39
233;2698;52
234;2855;41
235;2873;41
236;3100;39
237;3146;49
238;3348;36
239;3262;29
240;3464;39
241;3452;41
242;3702;32
243;3498;44
244;3777;45
245;3880;44
246;4005;48
247;4118;42
248;4261;33
249;4184;43
250;4436;39
251;4258;42
252;4592;38
253;4451;45
254;4620;41
255;4342;37
256;4645;36
