Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;18.11.2020 13:02:35

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;18.11.2020 12:50:03

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46240

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;1
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;1
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;2
30;4;4
31;5;4
32;3;1
33;2;0
34;1;0
35;1;0
36;2;0
37;3;1
38;5;2
39;3;0
40;8;1
41;7;1
42;6;5
43;7;3
44;3;0
45;7;3
46;3;3
47;7;1
48;2;5
49;3;2
50;3;5
51;5;1
52;7;3
53;9;2
54;5;4
55;12;1
56;3;2
57;6;2
58;6;3
59;7;3
60;7;1
61;9;2
62;8;4
63;9;2
64;9;2
65;7;0
66;5;1
67;3;3
68;7;3
69;4;3
70;8;0
71;7;2
72;5;3
73;3;2
74;6;3
75;3;6
76;3;3
77;8;4
78;2;4
79;8;1
80;8;2
81;4;1
82;6;5
83;4;1
84;8;4
85;3;2
86;12;4
87;6;4
88;9;1
89;2;1
90;3;6
91;5;3
92;7;2
93;5;3
94;5;5
95;7;3
96;12;4
97;2;6
98;9;3
99;4;4
100;4;1
101;10;3
102;11;1
103;8;4
104;10;6
105;11;4
106;13;1
107;7;1
108;9;4
109;7;7
110;8;3
111;8;0
112;13;1
113;14;2
114;9;5
115;10;2
116;10;5
117;12;4
118;14;0
119;10;3
120;16;1
121;14;3
122;14;1
123;12;0
124;17;2
125;20;3
126;9;5
127;16;5
128;16;1
129;17;0
130;16;0
131;18;3
132;7;4
133;21;4
134;16;3
135;15;6
136;19;6
137;20;2
138;17;2
139;11;3
140;12;5
141;12;2
142;14;4
143;19;1
144;9;5
145;10;5
146;20;1
147;7;5
148;12;2
149;13;1
150;12;3
151;10;3
152;8;4
153;7;4
154;10;4
155;8;3
156;6;4
157;16;3
158;8;5
159;14;9
160;5;5
161;17;6
162;15;3
163;8;3
164;4;4
165;10;4
166;10;3
167;5;3
168;10;2
169;6;7
170;10;4
171;14;4
172;9;5
173;4;1
174;9;2
175;10;2
176;7;5
177;4;2
178;10;2
179;10;1
180;10;3
181;11;2
182;10;3
183;3;5
184;7;1
185;7;8
186;3;5
187;8;4
188;5;1
189;7;4
190;12;5
191;8;6
192;5;1
193;8;5
194;6;4
195;13;6
196;12;4
197;5;0
198;10;4
199;14;5
200;9;6
201;9;7
202;12;5
203;12;4
204;10;4
205;10;2
206;9;2
207;7;3
208;4;5
209;7;4
210;10;8
211;10;3
212;8;2
213;8;10
214;7;1
215;10;5
216;7;2
217;10;4
218;13;5
219;5;4
220;9;0
221;14;2
222;6;3
223;7;4
224;8;7
225;8;6
226;7;5
227;14;3
228;8;4
229;12;5
230;8;3
231;11;1
232;9;5
233;14;5
234;4;4
235;16;3
236;8;2
237;5;8
238;10;6
239;10;2
240;15;5
241;19;6
242;9;5
243;15;6
244;10;3
245;10;6
246;11;1
247;12;4
248;7;2
249;7;4
250;17;2
251;3;5
252;15;2
253;11;2
254;8;3
255;6;3
256;12;5
257;8;3
258;12;1
259;5;0
260;15;6
261;8;7
262;10;3
263;11;2
264;14;1
265;6;4
266;15;5
267;14;3
268;8;4
269;10;3
270;4;0
271;13;3
272;5;3
273;15;4
274;11;5
275;9;3
276;9;3
277;13;3
278;6;2
279;14;4
280;7;10
281;13;2
282;12;3
283;10;2
284;7;1
285;13;2
286;11;3
287;9;7
