Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;16.09.2020 16:26:10

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;4
2;4
3;5
4;3
5;2
6;2
7;3
8;3
9;2
10;3
11;1
12;-1
13;1
14;0
15;1
16;0
17;0
18;1
19;1
20;0
21;3
22;3
23;20
24;28
25;45
26;50
27;44
28;62
29;206
30;665
31;936
32;707
33;410
34;348
35;441
36;527
37;581
38;798
39;808
40;952
41;1005
42;1094
43;1115
44;1210
45;1227
46;1268
47;1321
48;1346
49;1393
50;1505
51;1433
52;1600
53;1550
54;1662
55;1548
56;1666
57;1601
58;1741
59;1583
60;1649
61;1616
62;1544
63;1464
64;1548
65;1397
66;1453
67;1342
68;1292
69;1223
70;1261
71;1247
72;1283
73;1179
74;1161
75;1136
76;1176
77;1129
78;1180
79;1099
80;1186
81;1175
82;1244
83;1219
84;1243
85;1221
86;1342
87;1346
88;1434
89;1429
90;1632
91;1561
92;1642
93;1657
94;1833
95;1868
96;2050
97;1954
98;2232
99;2218
100;2423
101;2440
102;2586
103;2732
104;2963
105;2955
106;3201
107;3430
108;3631
109;3734
110;3661
111;3983
112;4419
113;4179
114;4598
115;4584
116;4953
117;4964
118;5269
119;5378
120;5718
121;5483
122;5900
123;5798
124;6283
125;5939
126;6107
127;6152
128;6256
129;5860
130;6029
131;5817
132;5906
133;5451
134;5425
135;5399
136;5345
137;5076
138;4877
139;4736
140;4720
141;4325
142;4304
143;3814
144;3983
145;3722
146;3671
147;3478
148;3183
149;2979
150;3052
151;2782
152;2747
153;2658
154;2632
155;2353
156;2372
157;2300
158;2252
159;2121
160;2123
161;1927
162;2059
163;1985
164;2006
165;1927
166;1892
167;1839
168;1833
169;1762
170;1909
171;1712
172;1859
173;1781
174;1779
175;1633
176;1774
177;1761
178;1854
179;1690
180;1864
181;1721
182;1780
183;1744
184;1826
185;1730
186;1878
187;1672
188;1826
189;1841
190;1857
191;1807
192;1871
193;1770
194;1910
195;1905
196;1844
197;1887
198;1971
199;1822
200;1869
201;1828
202;1940
203;1864
204;1998
205;1879
206;1972
207;1950
208;2012
209;1996
210;1934
211;1927
212;2039
213;1964
214;2069
215;2090
216;2146
217;2034
218;2178
219;2136
220;2108
221;2093
222;2261
223;2216
224;2240
225;2181
226;2284
227;2279
228;2374
229;2329
230;2453
231;2394
232;2549
233;2595
234;2640
235;2602
236;2788
237;2699
238;2809
239;2737
240;2943
241;2846
242;2893
243;2815
244;2976
245;2889
246;3101
247;2931
248;3036
249;3044
250;3133
251;3050
252;3152
253;2995
254;3151
255;3072
256;3267
257;3169
258;3133
259;3153
260;3206
261;3084
262;3212
263;3123
264;3147
265;2956
266;3154
267;3127
268;3167
269;3114
270;3150
271;3031
272;3100
273;2945
274;3054
275;2854
276;2987
277;2816
278;2953
279;2806
280;2809
281;2766
282;2790
283;2803
284;2647
285;2633
286;2675
287;2629
288;2629
289;2202
290;2623
291;2597
292;2548
293;2486
294;2574
295;2360
296;2411
297;2382
298;2414
299;2361
300;2533
301;2317
302;2374
303;2300
304;2307
305;2225
306;2288
307;2219
308;2376
309;2165
310;2244
311;2223
312;2202
313;2118
314;2171
315;2170
316;2251
317;2138
318;2306
319;2147
320;2203
321;2176
322;2265
323;2229
324;2121
325;2154
326;2211
327;2179
328;2232
329;2181
330;2207
331;2227
