Name:;AKTUELL;
Bemerkung:;;
;;
Messzeit Spektrum (s):;300;
Messzeitpunkt:;06.11.2020 08:18;
;;
Messzeit Nullspektrum (s):;300;
Messzeitpunkt:;06.11.2020 07:53;
;;
Verstärkung:;7.097;
Hochspannung:;870;
;;
Kalibrierfaktor:;0.46079;
;;
Offset:;3;
;;
;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;2;0
2;1;0
3;5;0
4;2;0
5;1;0
6;3;0
7;3;0
8;1;0
9;2;0
10;2;0
11;1;0
12;0;0
13;2;0
14;0;0
15;0;0
16;1;0
17;0;0
18;0;0
19;1;0
20;2;0
21;0;0
22;3;0
23;4;0
24;14;0
25;34;0
26;43;1
27;36;0
28;49;0
29;142;3
30;476;3
31;763;1
32;604;4
33;362;0
34;242;1
35;295;2
36;333;0
37;434;1
38;552;2
39;605;2
40;718;2
41;770;2
42;844;6
43;804;3
44;893;3
45;936;5
46;977;3
47;1053;1
48;1075;2
49;1092;0
50;1167;4
51;1168;4
52;1162;2
53;1228;2
54;1308;3
55;1245;3
56;1318;5
57;1261;2
58;1328;3
59;1261;5
60;1365;3
61;1212;1
62;1308;1
63;1184;2
64;1184;2
65;1087;0
66;1157;3
67;1098;3
68;1038;5
69;1008;5
70;1042;3
71;899;4
72;985;4
73;907;4
74;932;0
75;915;1
76;935;2
77;869;5
78;900;1
79;866;0
80;924;0
81;920;5
82;918;4
83;945;1
84;967;1
85;975;1
86;981;2
87;1067;2
88;1062;2
89;1110;3
90;1119;2
91;1206;2
92;1161;3
93;1255;3
94;1413;2
95;1358;3
96;1462;3
97;1397;4
98;1671;3
99;1607;2
100;1762;2
101;1754;0
102;1904;7
103;2000;2
104;2203;1
105;2165;5
106;2276;2
107;2446;4
108;2652;6
109;2623;2
110;2896;1
111;2911;2
112;3156;1
113;3213;6
114;3398;3
115;3631;3
116;3664;2
117;3650;2
118;3957;5
119;4013;4
120;4261;7
121;4113;7
122;4558;4
123;4478;4
124;4749;4
125;4595;4
126;4628;2
127;4619;2
128;4904;4
129;4728;4
130;4980;1
131;4799;0
132;4848;2
133;4572;3
134;4751;5
135;4486;4
136;4449;2
137;4259;4
138;4308;4
139;4034;4
140;4034;1
141;3762;1
142;3763;5
143;3494;2
144;3413;3
145;3260;6
146;3129;6
147;2981;0
148;2956;2
149;2734;2
150;2692;5
151;2503;4
152;2425;2
153;2301;3
154;2183;0
155;2074;4
156;2039;4
157;1953;3
158;1887;2
159;1778;1
160;1834;4
161;1680;2
162;1683;2
163;1615;8
164;1515;4
165;1500;2
166;1543;3
167;1474;3
168;1580;4
169;1438;5
170;1416;1
171;1444;5
172;1424;7
173;1413;3
174;1412;6
175;1304;5
176;1359;4
177;1288;6
178;1346;3
179;1311;7
180;1411;1
181;1431;5
182;1389;5
183;1320;3
184;1394;2
185;1419;1
186;1454;6
187;1397;5
188;1470;4
189;1406;7
190;1392;2
191;1395;0
192;1464;7
193;1391;2
194;1404;4
195;1441;4
196;1411;5
197;1401;3
198;1474;5
199;1421;3
200;1504;3
201;1460;6
202;1517;4
203;1482;5
204;1559;5
205;1471;3
206;1554;5
207;1506;1
208;1538;4
209;1473;2
210;1514;7
211;1535;2
212;1486;5
213;1567;3
214;1542;10
215;1577;3
216;1610;5
217;1548;5
218;1654;3
219;1606;4
220;1624;3
221;1609;3
222;1675;6
223;1650;1
224;1613;5
225;1654;4
226;1717;2
227;1729;9
228;1827;4
229;1874;5
