Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;30.11.2020 10:12:06

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;30.11.2020 08:55:03

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46079

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;1
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;1
27;0;0
28;0;2
29;4;2
30;4;2
31;3;1
32;0;2
33;0;1
34;3;1
35;0;1
36;2;1
37;1;4
38;0;1
39;4;1
40;0;2
41;2;0
42;5;3
43;0;2
44;1;5
45;4;2
46;2;0
47;4;3
48;1;5
49;1;4
50;5;3
51;6;4
52;4;2
53;3;2
54;5;0
55;4;3
56;3;3
57;1;2
58;3;5
59;1;1
60;5;3
61;5;2
62;1;4
63;2;0
64;5;3
65;3;1
66;2;2
67;4;3
68;0;3
69;1;2
70;2;2
71;4;4
72;3;4
73;4;8
74;3;3
75;1;0
76;6;3
77;4;2
78;2;5
79;2;1
80;4;4
81;4;4
82;2;1
83;2;0
84;3;5
85;1;2
86;4;5
87;1;4
88;2;5
89;2;4
90;5;1
91;1;2
92;3;5
93;5;4
94;1;4
95;4;2
96;2;2
97;4;6
98;5;2
99;6;3
100;4;3
101;3;3
102;4;2
103;2;2
104;6;1
105;7;4
106;10;1
107;6;4
108;3;1
109;6;4
110;4;3
111;2;2
112;3;2
113;11;1
114;5;2
115;3;1
116;4;4
117;3;2
118;5;3
119;3;2
120;6;6
121;9;3
122;4;6
123;1;2
124;1;5
125;4;1
126;1;5
127;5;2
128;4;5
129;3;1
130;0;0
131;1;6
132;5;2
133;1;7
134;9;2
135;7;1
136;7;4
137;7;6
138;7;5
139;7;3
140;3;1
141;7;2
142;6;3
143;7;5
144;5;2
145;4;1
146;7;1
147;4;3
148;5;2
149;1;4
150;7;1
151;6;5
152;5;4
153;4;8
154;8;3
155;6;3
156;8;5
157;1;5
158;0;0
159;7;3
160;3;5
161;7;4
162;3;1
163;7;4
164;10;6
165;3;6
166;6;7
167;5;1
168;2;3
169;6;5
170;6;3
171;5;7
172;0;6
173;2;4
174;5;0
175;3;3
176;6;5
177;3;2
178;9;1
179;5;7
180;7;6
181;5;3
182;6;5
183;8;0
184;2;5
185;7;6
186;4;3
187;5;3
188;3;2
189;7;1
190;7;2
191;5;5
192;3;2
193;7;2
194;5;5
195;8;3
196;4;8
197;7;7
198;2;7
199;7;8
200;5;2
201;6;5
202;1;5
203;7;4
204;4;3
205;2;11
206;4;4
207;10;2
208;1;3
209;5;1
210;5;3
211;1;3
212;5;4
213;4;0
214;3;4
215;7;0
216;4;4
217;5;6
218;7;3
219;8;5
220;6;2
221;3;8
222;8;3
223;3;4
224;4;3
225;2;8
226;5;3
227;4;5
228;4;6
229;4;5
230;6;7
231;3;3
232;6;4
233;4;2
234;6;3
235;6;4
236;3;2
237;1;0
238;6;4
239;3;7
240;7;2
241;4;4
242;4;5
243;1;1
244;3;6
245;3;4
246;4;4
247;7;2
248;5;1
249;3;1
250;12;6
251;6;0
252;7;7
253;6;2
254;7;6
255;4;2
256;2;6
257;7;3
258;7;4
259;6;4
260;8;3
261;6;8
262;6;4
263;5;4
264;6;3
265;4;2
266;11;4
267;8;4
268;8;3
269;4;2
270;3;7
271;5;5
272;5;2
273;9;4
274;4;10
275;4;2
276;10;2
277;1;7
278;5;6
279;6;2
280;6;3
281;4;1
282;7;4
283;2;2
284;2;3
285;3;6
286;6;4
287;5;5
