Name:;
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;13.10.2020 07:37:00

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;2
2;0
3;1
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;2
27;2
28;1
29;4
30;10
31;23
32;15
33;6
34;3
35;6
36;8
37;10
38;10
39;11
40;20
41;9
42;14
43;15
44;18
45;23
46;30
47;29
48;28
49;23
50;27
51;35
52;19
53;26
54;17
55;30
56;27
57;21
58;18
59;33
60;31
61;34
62;39
63;31
64;51
65;46
66;40
67;32
68;30
69;36
70;43
71;29
72;22
73;20
74;23
75;22
76;30
77;24
78;37
79;24
80;21
81;32
82;19
83;18
84;28
85;29
86;20
87;18
88;27
89;23
90;19
91;20
92;17
93;31
94;30
95;44
96;32
97;35
98;25
99;36
100;26
101;32
102;37
103;43
104;47
105;41
106;53
107;53
108;61
109;54
110;51
111;74
112;71
113;64
114;62
115;62
116;62
117;81
118;75
119;80
120;83
121;75
122;97
123;90
124;109
125;90
126;88
127;99
128;105
129;75
130;97
131;92
132;98
133;75
134;87
135;86
136;103
137;100
138;92
139;101
140;85
141;98
142;66
143;73
144;73
145;64
146;69
147;70
148;55
149;59
150;49
151;63
152;58
153;63
154;55
155;46
156;41
157;48
158;46
159;42
160;46
161;28
162;52
163;38
164;27
165;39
166;47
167;45
168;43
169;42
170;48
171;35
172;34
173;32
174;29
175;42
176;29
177;40
178;28
179;39
180;34
181;38
182;35
183;39
184;41
185;52
186;49
187;39
188;35
189;34
190;35
191;36
192;45
193;44
194;38
195;39
196;37
197;43
198;46
199;46
200;37
201;48
202;39
203;31
204;43
205;34
206;36
207;49
208;36
209;35
210;37
211;45
212;35
213;27
214;41
215;32
216;35
217;25
218;36
219;38
220;45
221;45
222;38
223;33
224;58
225;43
226;39
227;41
228;61
229;39
230;49
231;34
232;48
233;48
234;48
235;61
236;53
237;31
238;50
239;47
240;45
241;56
242;56
243;49
244;39
245;52
246;54
247;48
248;48
249;55
250;53
251;56
252;67
253;53
254;63
255;56
256;50
257;78
258;64
259;61
260;63
261;55
262;62
263;55
264;66
265;53
266;55
267;51
268;63
269;55
270;43
271;60
272;47
273;59
274;68
275;67
276;55
277;56
278;41
279;49
280;56
281;51
282;54
283;46
284;52
285;63
286;57
287;52
288;51
289;46
290;60
291;42
292;44
293;39
294;44
295;56
296;40
297;37
298;52
299;44
300;45
301;55
302;52
303;38
304;46
305;43
306;35
307;55
308;43
309;45
310;42
311;50
312;55
313;44
314;52
315;44
316;47
317;50
318;45
319;44
320;40
321;57
322;40
323;43
324;64
325;51
326;40
327;36
328;34
329;56
330;51
331;53
332;56
333;49
334;40
335;41
336;46
337;48
338;49
339;41
340;52
341;42
342;59
343;59
344;57
345;41
346;44
347;44
348;46
349;47
350;53
351;54
352;43
353;47
354;47
355;36
356;57
357;65
358;63
359;52
360;46
361;37
362;50
363;55
364;53
365;55
366;58
367;52
368;55
369;47
370;59
371;53
372;54
373;45
374;50
375;48
376;54
377;51
378;58
379;45
380;33
381;59
382;38
383;46
384;56
385;41
386;63
387;50
388;48
389;56
390;39
391;42
392;40
393;47
394;48
395;52
396;56
397;41
398;45
399;56
400;53
401;45
402;49
403;45
404;42
405;47
