Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;30.11.2020 09:00:36

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;30.11.2020 08:55:03

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46079

Offset:;2

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;1
8;0;0
9;0;0
10;1;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;1;0
25;0;0
26;0;1
27;0;0
28;3;2
29;9;2
30;15;2
31;16;1
32;4;2
33;5;1
34;2;1
35;5;1
36;4;1
37;8;4
38;16;1
39;12;1
40;13;2
41;11;0
42;16;3
43;18;2
44;12;5
45;20;2
46;25;0
47;20;3
48;23;5
49;20;4
50;25;3
51;17;4
52;21;2
53;19;2
54;22;0
55;28;3
56;26;3
57;18;2
58;28;5
59;18;1
60;29;3
61;29;2
62;23;4
63;13;0
64;22;3
65;23;1
66;24;2
67;20;3
68;20;3
69;10;2
70;20;2
71;13;4
72;16;4
73;8;8
74;27;3
75;20;0
76;15;3
77;14;2
78;15;5
79;13;1
80;17;4
81;25;4
82;16;1
83;22;0
84;6;5
85;11;2
86;22;5
87;15;4
88;19;5
89;14;4
90;14;1
91;15;2
92;27;5
93;17;4
94;27;4
95;18;2
96;26;2
97;20;6
98;22;2
99;19;3
100;29;3
101;30;3
102;33;2
103;36;2
104;48;1
105;35;4
106;38;1
107;34;4
108;44;1
109;49;4
110;42;3
111;51;2
112;57;2
113;49;1
114;42;2
115;52;1
116;48;4
117;62;2
118;86;3
119;69;2
120;57;6
121;72;3
122;76;6
123;75;2
124;71;5
125;76;1
126;85;5
127;69;2
128;71;5
129;87;1
130;74;0
131;69;6
132;79;2
133;67;7
134;73;2
135;78;1
136;74;4
137;70;6
138;75;5
139;68;3
140;60;1
141;52;2
142;54;3
143;65;5
144;57;2
145;49;1
146;52;1
147;41;3
148;47;2
149;44;4
150;31;1
151;37;5
152;45;4
153;28;8
154;38;3
155;37;3
156;20;5
157;32;5
158;30;0
159;41;3
160;38;5
161;25;4
162;32;1
163;16;4
164;34;6
165;26;6
166;28;7
167;30;1
168;32;3
169;18;5
170;22;3
171;31;7
172;24;6
173;24;4
174;22;0
175;22;3
176;25;5
177;19;2
178;21;1
179;29;7
180;27;6
181;23;3
182;32;5
183;14;0
184;23;5
185;27;6
186;27;3
187;22;3
188;22;2
189;22;1
190;24;2
191;18;5
192;30;2
193;21;2
194;24;5
195;28;3
196;21;8
197;28;7
198;31;7
199;22;8
200;28;2
201;26;5
202;18;5
203;25;4
204;26;3
205;23;11
206;26;4
207;29;2
208;17;3
209;23;1
210;26;3
211;27;3
212;42;4
213;24;0
214;28;4
215;25;0
216;42;4
217;15;6
218;30;3
219;23;5
220;11;2
221;29;8
222;40;3
223;28;4
224;36;3
225;32;8
226;38;3
227;25;5
228;34;6
229;26;5
230;33;7
231;34;3
232;29;4
233;31;2
234;36;3
235;35;4
236;23;2
237;24;0
238;33;4
239;24;7
240;32;2
241;37;4
242;39;5
243;35;1
244;36;6
245;44;4
246;40;4
247;49;2
248;49;1
249;40;1
250;38;6
251;45;0
252;34;7
253;39;2
254;43;6
255;39;2
256;42;6
257;42;3
258;53;4
259;35;4
260;41;3
261;34;8
262;41;4
263;44;4
264;47;3
265;36;2
266;51;4
267;58;4
268;42;3
269;39;2
270;37;7
271;48;5
272;45;2
273;50;4
274;33;10
275;37;2
276;36;2
277;50;7
278;40;6
279;38;2
280;50;3
281;40;1
282;50;4
283;47;2
284;34;3
285;40;6
286;24;4
287;31;5
