Messzeit Spektrum (s):;
Messzeitpunkt:;
;
Messzeit Nullspektrum (s):;
Messzeitpunkt:;
;
Verstärkung:;
Hochspannung:;
;
Kalibrierfaktor:;
;
Offset:;
;
;
Kanal;
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;1
20;0
21;0
22;-1
23;0
24;0
25;0
26;1
27;1
28;1
29;3
30;9
31;13
32;8
33;8
34;6
35;5
36;3
37;8
38;9
39;11
40;14
41;8
42;21
43;16
44;16
45;19
46;22
47;12
48;18
49;32
50;27
51;37
52;16
53;33
54;21
55;27
56;28
57;21
58;15
59;16
60;25
61;19
62;18
63;27
64;35
65;26
66;15
67;24
68;22
69;25
70;23
71;21
72;19
73;18
74;12
75;16
76;23
77;20
78;18
79;28
80;21
81;13
82;13
83;14
84;17
85;26
86;21
87;18
88;23
89;23
90;22
91;29
92;19
93;14
94;21
95;18
96;23
97;20
98;25
99;30
100;28
101;27
102;38
103;37
104;43
105;32
106;44
107;35
108;46
109;34
110;43
111;65
112;60
113;48
114;55
115;61
116;64
117;60
118;63
119;69
120;66
121;88
122;66
123;72
124;94
125;79
126;81
127;86
128;90
129;79
130;89
131;92
132;99
133;69
134;107
135;92
136;73
137;72
138;77
139;88
140;81
141;62
142;58
143;77
144;77
145;67
146;49
147;49
148;55
149;42
150;58
151;32
152;43
153;51
154;43
155;60
156;41
157;29
158;32
159;39
160;33
161;34
162;35
163;27
164;28
165;35
166;37
167;26
168;29
169;41
170;27
171;24
172;28
173;32
174;28
175;30
176;22
177;33
178;30
179;34
180;24
181;22
182;37
183;31
184;28
185;35
186;27
187;24
188;27
189;29
190;19
191;24
192;30
193;26
194;22
195;34
196;23
197;26
198;33
199;22
200;39
201;31
202;29
203;25
204;32
205;36
206;37
207;22
208;42
209;29
210;26
211;25
212;27
213;28
214;20
215;25
216;29
217;17
218;24
219;26
220;30
221;36
222;26
223;25
224;31
225;29
226;41
227;42
228;35
229;30
230;34
231;38
232;46
233;30
234;31
235;35
236;40
237;39
238;42
239;40
240;39
241;37
242;51
243;31
244;41
245;49
246;49
247;46
248;33
249;51
250;42
251;43
252;46
253;38
254;52
255;39
256;45
257;49
258;39
259;43
260;44
261;38
262;44
263;44
264;50
265;42
266;58
267;50
268;43
269;49
270;54
271;41
272;51
273;42
274;38
275;47
276;44
