cfef;
Messzeit Spektrum (s):;
Messzeitpunkt:;
;
Messzeit Nullspektrum (s):;
Messzeitpunkt:;
;
Verstärkung:;
Hochspannung:;
;
Kalibrierfaktor:;
;
Offset:;
;
;
Kanal;
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;-1
24;-1
25;-1
26;-2
27;1
28;-1
29;3
30;17
31;12
32;11
33;7
34;3
35;2
36;10
37;3
38;7
39;7
40;10
41;5
42;15
43;5
44;12
45;15
46;16
47;11
48;13
49;13
50;19
51;18
52;9
53;15
54;20
55;19
56;20
57;20
58;27
59;25
60;25
61;13
62;16
63;25
64;17
65;16
66;17
67;24
68;16
69;17
70;16
71;12
72;8
73;14
74;13
75;13
76;25
77;6
78;15
79;12
80;21
81;12
82;14
83;15
84;16
85;16
86;17
87;15
88;15
89;22
90;16
91;16
92;24
93;17
94;14
95;26
96;20
97;20
98;22
99;17
100;23
101;25
102;26
103;27
104;25
105;25
106;40
107;43
108;37
109;34
110;45
111;49
112;54
113;47
114;42
115;47
116;69
117;50
118;68
119;75
120;70
121;83
122;76
123;70
124;66
125;71
126;88
127;85
128;78
129;69
130;76
131;85
132;77
133;81
134;85
135;77
136;94
137;57
138;74
139;63
140;70
141;56
142;68
143;49
144;59
145;77
146;61
147;42
148;42
149;45
150;41
151;36
152;49
153;37
154;29
155;43
156;49
157;38
158;29
159;40
160;30
161;29
162;28
163;30
164;22
165;21
166;28
167;26
168;29
169;25
170;31
171;15
172;24
173;22
174;29
175;28
176;27
177;22
178;20
179;20
180;13
181;31
182;24
183;16
184;29
185;22
186;22
187;24
188;15
189;14
190;33
191;23
192;18
193;30
194;28
195;34
196;21
197;33
198;34
199;17
200;14
201;23
202;21
203;12
204;33
205;27
206;22
207;29
208;26
209;20
210;19
211;29
212;24
213;22
214;26
215;29
216;39
217;33
218;26
219;25
220;18
221;30
222;25
223;34
224;18
225;22
226;22
227;23
228;29
229;25
230;26
231;26
232;28
233;39
234;29
235;22
236;32
237;23
238;28
239;30
240;39
241;32
242;30
243;31
244;38
245;30
246;28
247;31
248;37
249;38
250;35
251;51
252;41
253;39
254;33
255;38
256;42
257;37
258;50
259;37
260;35
261;37
262;46
263;53
264;54
265;43
266;46
267;35
268;46
269;30
270;31
271;30
272;34
273;27
274;45
275;41
276;45
277;36
278;34
279;30
280;24
281;49
282;39
283;40
284;40
285;37
286;35
287;30
288;32
289;33
290;42
291;36
292;31
293;49
294;37
295;25
296;31
297;29
298;32
299;33
300;33
301;32
302;17
303;39
304;30
305;37
306;28
307;24
308;38
309;24
310;25
311;30
312;35
313;22
314;26
315;31
316;24
317;34
318;32
319;34
320;37
321;31
322;37
323;25
324;24
325;37
326;31
327;46
328;28
329;16
330;34
331;28
332;25
333;25
334;28
335;14
336;25
337;31
338;35
339;27
340;23
341;25
342;35
343;15
344;34
345;21
346;24
347;30
348;36
349;29
350;38
351;32
352;31
353;16
354;33
355;20
356;25
357;26
358;31
359;35
360;31
361;26
362;29
363;29
364;31
365;27
366;24
367;29
368;24
369;23
370;28
371;36
372;19
373;31
374;37
375;22
376;38
377;28
378;25
379;24
380;27
381;32
382;37
383;20
384;36
385;14
386;24
387;26
388;29
389;28
390;29
391;22
392;23
393;38
394;31
395;28
396;37
397;19
398;37
399;26
400;31
401;29
402;23
403;35
404;24
405;28
406;34
407;29
408;34
409;15
410;33
411;27
412;24
413;29
414;25
415;29
416;23
417;31
418;36
419;19
420;32
421;35
422;29
423;32
424;27
425;24
426;31
427;42
428;32
429;32
430;33
431;28
432;25
433;45
434;34
435;25
436;39
437;24
438;34
439;43
440;30
441;30
442;26
443;28
444;24
445;36
446;30
447;27
448;31
449;32
450;33
451;27
452;33
453;24
454;31
455;40
456;40
457;26
458;42
459;44
460;33
461;41
462;41
463;34
464;42
465;44
466;44
467;40
468;38
469;43
470;43
471;38
472;40
473;48
474;46
475;42
476;38
477;34
478;43
479;36
480;38
481;37
482;31
483;39
484;37
485;43
486;45
487;30
488;40
489;37
490;34
491;32
492;41
493;33
494;29
495;25
496;38
497;38
498;34
499;29
500;30
501;34
502;31
503;33
504;42
505;36
506;27
507;32
508;21
509;23
510;46
511;30
512;21
513;26
514;27
515;35
516;30
517;32
518;32
519;25
520;23
521;33
522;26
523;21
524;31
525;22
526;29
527;16
528;24
529;20
530;32
531;30
532;23
533;25
534;21
535;16
536;25
537;21
538;19
539;19
540;23
541;27
542;20
543;20
544;18
545;16
546;13
547;19
548;26
549;26
550;22
551;20
552;11
553;15
554;18
555;18
556;16
557;15
558;26
559;14
560;21
561;15
562;17
563;21
564;32
565;25
566;19
567;14
568;16
569;13
570;10
571;21
572;16
573;20
574;28
