Name:;
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;07.10.2020 15:38:07

Verstärkung:;7.014
Hochspannung:;870

Kalibrierfaktor:;0.46796

Offset:;3

;Spektrum
Kanal;Impulse
0;0
1;0
2;0
3;0
4;1
5;0
6;0
7;1
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;2
27;5
28;2
29;4
30;19
31;14
32;15
33;11
34;3
35;7
36;1
37;12
38;19
39;19
40;15
41;23
42;24
43;21
44;30
45;20
46;21
47;31
48;35
49;24
50;32
51;33
52;32
53;29
54;36
55;49
56;52
57;45
58;35
59;44
60;37
61;40
62;47
63;40
64;37
65;48
66;48
67;46
68;27
69;32
70;41
71;40
72;43
73;47
74;44
75;25
76;37
77;38
78;36
79;35
80;24
81;45
82;31
83;27
84;29
85;26
86;27
87;32
88;30
89;30
90;40
91;31
92;29
93;36
94;33
95;37
96;40
97;39
98;45
99;40
100;28
101;48
102;40
103;49
104;48
105;56
106;43
107;57
108;74
109;81
110;62
111;61
112;72
113;77
114;73
115;69
116;92
117;74
118;90
119;100
120;99
121;87
122;93
123;103
124;119
125;92
126;112
127;96
128;105
129;103
130;103
131;107
132;104
133;110
134;115
135;98
136;101
137;104
138;100
139;78
140;83
141;88
142;66
143;63
144;96
145;76
146;81
147;70
148;56
149;83
150;71
151;56
152;87
153;49
154;49
155;54
156;58
157;59
158;32
159;48
160;50
161;54
162;44
163;47
164;60
165;54
166;46
167;36
168;47
169;39
170;48
171;46
172;48
173;47
174;64
175;49
176;50
177;50
178;52
179;50
180;63
181;49
182;47
183;50
184;45
185;59
186;46
187;56
188;44
189;38
190;56
191;59
192;50
193;65
194;49
195;39
196;57
197;47
198;38
199;59
200;68
201;57
202;60
203;40
204;55
205;41
206;57
207;54
208;48
209;38
210;43
211;47
212;47
213;56
214;54
215;43
216;46
217;55
218;49
219;41
220;39
221;45
222;41
223;47
224;44
225;46
226;47
227;49
228;56
229;46
230;60
231;69
232;43
233;41
234;60
235;54
236;58
237;60
238;58
239;53
240;53
241;66
242;66
243;63
244;52
245;54
246;73
247;58
248;71
249;67
250;58
251;64
252;72
253;56
254;55
255;91
256;70
257;63
258;60
259;79
260;68
261;67
262;73
263;70
264;72
265;47
266;72
267;71
268;57
269;66
270;79
271;73
272;72
273;69
274;72
275;65
276;64
277;72
278;66
279;56
280;59
281;70
282;72
283;60
284;74
285;76
286;71
287;51
288;72
289;60
290;57
291;66
292;70
293;65
294;53
295;55
296;64
297;69
298;62
299;49
300;62
301;63
302;50
303;65
304;61
305;59
306;53
307;49
308;57
309;54
310;66
311;46
312;60
313;65
314;71
315;58
316;82
317;50
318;68
319;58
320;56
321;54
322;74
323;69
324;61
325;54
326;48
327;39
328;68
329;50
330;46
331;52
332;74
333;61
334;54
335;62
336;76
337;52
338;54
339;71
340;77
341;52
342;68
343;59
344;61
345;56
346;59
347;64
348;68
349;52
350;63
351;46
352;62
353;54
354;90
355;55
356;69
357;58
358;59
359;69
360;58
361;59
362;66
363;54
364;68
365;72
366;64
367;80
368;58
369;63
370;63
371;70
372;52
373;65
374;68
375;60
376;65
377;65
378;79
379;54
380;73
381;59
382;64
383;61
384;59
385;48
386;64
387;51
388;53
389;53
390;57
391;46
392;58
393;55
394;59
395;66
396;66
397;62
398;77
399;59
400;70
401;52
402;45
403;50
404;44
405;53
