Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;300
Messzeitpunkt:;27.10.2020 10:19:51

Messzeit Nullspektrum (s):;300
Messzeitpunkt:;27.10.2020 10:13:06

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46111

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;1;0
20;0;0
21;0;0
22;0;1
23;0;0
24;0;0
25;0;0
26;1;0
27;1;0
28;1;0
29;3;0
30;10;1
31;13;0
32;9;1
33;8;0
34;6;0
35;6;1
36;4;1
37;11;3
38;10;1
39;13;2
40;14;0
41;10;2
42;21;0
43;19;3
44;18;2
45;22;3
46;22;0
47;15;3
48;24;6
49;32;0
50;28;1
51;41;4
52;21;5
53;34;1
54;24;3
55;28;1
56;33;5
57;25;4
58;17;2
59;21;5
60;27;2
61;22;3
62;21;3
63;28;1
64;35;0
65;29;3
66;17;2
67;27;3
68;23;1
69;27;2
70;25;2
71;24;3
72;22;3
73;21;3
74;17;5
75;21;5
76;24;1
77;22;2
78;20;2
79;28;0
80;24;3
81;15;2
82;19;6
83;16;2
84;20;3
85;27;1
86;23;2
87;20;2
88;23;0
89;24;1
90;24;2
91;31;2
92;21;2
93;19;5
94;26;5
95;24;6
96;28;5
97;23;3
98;28;3
99;31;1
100;29;1
101;32;5
102;43;5
103;37;0
104;45;2
105;37;5
106;48;4
107;41;6
108;47;1
109;38;4
110;47;4
111;67;2
112;63;3
113;48;0
114;59;4
115;63;2
116;67;3
117;63;3
118;65;2
119;70;1
120;68;2
121;89;1
122;68;2
123;76;4
124;95;1
125;85;6
126;83;2
127;91;5
128;93;3
129;82;3
130;92;3
131;96;4
132;99;0
133;73;4
134;110;3
135;95;3
136;75;2
137;77;5
138;83;6
139;93;5
140;84;3
141;65;3
142;63;5
143;78;1
144;78;1
145;71;4
146;54;5
147;52;3
148;57;2
149;49;7
150;61;3
151;39;7
152;46;3
153;54;3
154;50;7
155;63;3
156;47;6
157;34;5
158;35;3
159;43;4
160;36;3
161;35;1
162;38;3
163;33;6
164;33;5
165;37;2
166;41;4
167;32;6
168;32;3
169;44;3
170;32;5
171;30;6
172;32;4
173;35;3
174;29;1
175;35;5
176;28;6
177;38;5
178;34;4
179;34;0
180;29;5
181;27;5
182;40;3
183;35;4
184;29;1
185;35;0
186;32;5
187;33;9
188;28;1
189;33;4
190;23;4
191;27;3
192;37;7
193;31;5
194;26;4
195;37;3
196;31;8
197;32;6
198;37;4
199;25;3
200;43;4
201;33;2
202;31;2
203;33;8
204;36;4
205;37;1
206;40;3
207;25;3
208;44;2
209;30;1
210;34;8
211;29;4
212;33;6
213;30;2
214;25;5
215;31;6
216;33;4
217;21;4
218;28;4
219;29;3
220;31;1
221;38;2
222;30;4
223;28;3
224;34;3
225;35;6
226;43;2
227;47;5
228;39;4
229;33;3
230;37;3
231;41;3
232;48;2
233;33;3
234;38;7
235;39;4
236;44;4
237;43;4
238;44;2
239;42;2
240;44;5
241;41;4
242;53;2
243;34;3
244;42;1
245;54;5
246;52;3
247;50;4
248;41;8
249;52;1
250;46;4
251;46;3
252;49;3
253;39;1
254;53;1
255;42;3
256;48;3
257;51;2
258;42;3
259;48;5
260;46;2
261;41;3
262;50;6
263;50;6
264;54;4
265;43;1
266;61;3
267;53;3
268;50;7
269;52;3
270;58;4
271;44;3
272;55;4
273;48;6
274;44;6
275;48;1
276;46;2
277;42;4
278;45;3
279;51;5
280;50;5
281;50;2
282;52;5
283;50;6
284;41;2
285;44;3
286;38;3
287;60;1
