Name:;AKTUELL
Bemerkung:;

Messzeit Spektrum (s):;3600
Messzeitpunkt:;09.11.2020 15:38:38

Messzeit Nullspektrum (s):;3600
Messzeitpunkt:;09.11.2020 14:38:15

Verstärkung:;7.097
Hochspannung:;870

Kalibrierfaktor:;0.46015

Offset:;3

;Spektrum;Nullspektrum
Kanal;Impulse;Impulse
0;0;0
1;2;0
2;2;0
3;0;0
4;1;0
5;0;0
6;0;0
7;0;1
8;2;0
9;0;0
10;0;0
11;1;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;1;0
18;0;1
19;0;0
20;1;0
21;1;0
22;2;1
23;5;0
24;15;2
25;9;0
26;22;1
27;7;0
28;19;6
29;68;26
30;157;32
31;151;36
32;118;14
33;56;23
34;61;18
35;70;17
36;81;24
37;113;27
38;129;27
39;180;36
40;176;39
41;200;39
42;179;28
43;193;27
44;231;33
45;214;46
46;213;38
47;204;35
48;243;27
49;241;39
50;260;35
51;240;30
52;250;31
53;246;21
54;297;33
55;268;35
56;291;35
57;318;30
58;313;33
59;274;40
60;311;31
61;270;26
62;298;20
63;262;36
64;293;38
65;313;30
66;253;45
67;254;29
68;266;39
69;237;33
70;215;37
71;223;28
72;211;33
73;218;29
74;212;26
75;226;27
76;209;37
77;194;34
78;196;29
79;202;32
80;204;24
81;182;42
82;218;31
83;217;36
84;225;22
85;234;31
86;221;40
87;220;37
88;226;47
89;255;40
90;259;33
91;237;42
92;263;38
93;257;33
94;248;44
95;310;31
96;288;33
97;280;32
98;342;41
99;376;42
100;363;25
101;398;35
102;427;38
103;419;26
104;421;34
105;470;48
106;501;46
107;506;28
108;522;43
109;562;42
110;561;46
111;615;34
112;691;36
113;684;48
114;709;52
115;689;40
116;783;33
117;828;33
118;860;32
119;880;28
120;869;47
121;870;42
122;897;41
123;903;34
124;960;28
125;955;34
126;1007;36
127;1017;37
128;985;36
129;1003;46
130;996;33
131;1024;35
132;1012;49
133;995;48
134;1039;44
135;967;46
136;944;38
137;919;48
138;902;37
139;904;44
140;864;47
141;869;48
142;813;35
143;764;41
144;728;26
145;723;32
146;710;33
147;653;33
148;631;44
149;567;48
150;597;43
151;493;45
152;542;42
153;495;43
154;511;42
155;509;28
156;421;40
157;429;44
158;431;45
159;402;40
160;426;43
161;375;50
162;429;41
163;370;38
164;363;40
165;356;58
166;356;50
167;368;49
168;345;43
169;322;30
170;343;48
171;336;46
172;338;41
173;333;46
174;344;44
175;324;43
176;318;45
177;336;45
178;321;40
179;319;37
180;284;48
181;307;38
182;332;47
183;298;45
184;308;45
185;326;45
186;343;46
187;310;47
188;341;51
189;314;43
190;378;38
191;318;52
192;335;52
193;372;48
194;341;49
195;329;47
196;333;65
197;339;35
198;341;51
199;334;41
200;373;46
201;338;43
202;369;48
203;339;37
204;380;39
205;378;58
206;356;41
207;332;40
208;351;49
209;346;40
210;355;43
211;325;45
212;359;40
213;340;43
214;357;47
215;339;30
216;358;48
217;342;46
218;371;54
219;375;48
220;352;54
221;392;34
222;373;48
223;383;46
224;380;47
225;399;39
226;375;36
227;367;39
228;378;33
229;418;45
230;423;56
231;432;44
232;406;48
233;407;44
234;437;52
235;451;50
236;467;47
237;413;55
238;449;44
239;463;36
240;485;51
241;454;46
242;527;56
243;518;50
244;542;42
245;505;48
246;501;46
247;481;48
248;498;47
249;491;42
250;532;45
251;535;62
252;531;53
253;558;37
254;528;66
255;545;57
256;553;46
257;540;43
258;578;38
259;508;45
260;560;45
261;573;35
262;638;50
263;595;40
264;584;44
265;577;45
266;580;48
267;517;47
268;561;46
269;561;37
270;563;37
271;516;45
272;522;38
273;562;29
274;544;68
275;545;47
276;546;40
277;565;41
278;513;44
279;485;48
280;536;44
281;557;48
282;562;54
283;494;54
284;487;41
285;490;49
286;521;54
